12	6 Jun 23	18:28:00	1	0	37	0	Pn	0	1	12	10	8	1	13	4	15	9	15	15	13	12	1	10	15	15	15	11	15	4	15	10	4	15	13	12	9	15	15	1	11	6
13	6 Jun 23	18:29:00	1	0	37	0	MT	0	1	0	5	1	0	0	0	4	1	0	0	0	0	0	17	0	0	0	15	2	8	0	1	10	12	14	18	8	0	2	3	0	2
13	6 Jun 23	18:29:00	1	0	37	0	CT	0	1	0	42	31	0	21	2	8	12	0	0	0	2	0	33	0	2	0	36	9	23	0	41	33	24	24	24	22	0	13	7	0	22
13	6 Jun 23	18:29:00	1	0	37	0	Pn	0	1	12	5	7	1	13	4	11	10	15	15	13	12	1	9	15	15	15	8	13	10	15	11	14	3	5	8	1	15	13	4	11	8
14	6 Jun 23	18:30:00	1	0	37	0	MT	0	1	0	0	4	0	1	1	3	1	0	0	0	0	0	11	0	0	9	7	26	2	0	4	1	2	10	7	8	3	3	9	0	7
14	6 Jun 23	18:30:00	1	0	37	0	CT	0	1	0	29	23	0	3	5	18	18	0	0	0	6	0	15	0	0	16	15	32	14	0	9	1	11	13	13	25	7	29	21	0	20
14	6 Jun 23	18:30:00	1	0	37	0	Pn	0	1	12	5	3	1	12	3	8	11	15	15	13	12	1	10	15	15	6	15	15	12	15	15	15	1	15	15	9	12	10	5	11	15
15	6 Jun 23	18:31:00	1	0	37	0	MT	0	1	0	3	2	0	4	0	0	1	0	0	0	0	0	8	0	0	6	5	0	0	0	0	0	0	0	7	6	9	6	4	0	9
15	6 Jun 23	18:31:00	1	0	37	0	CT	0	1	0	27	7	0	14	5	0	26	0	0	0	0	0	36	0	14	23	24	10	0	2	7	0	1	6	25	17	18	13	12	0	26
15	6 Jun 23	18:31:00	1	0	37	0	Pn	0	1	12	8	1	1	8	3	8	12	15	15	13	12	1	2	15	15	4	10	15	12	15	15	15	1	15	8	15	3	4	1	11	6
16	6 Jun 23	18:32:00	1	0	37	0	MT	0	1	0	3	0	0	1	2	0	0	0	0	1	0	0	15	0	0	0	2	2	3	0	25	6	14	0	15	7	0	0	7	0	5
16	6 Jun 23	18:32:00	1	0	37	0	CT	0	1	0	11	0	0	6	28	2	0	0	0	7	0	0	23	0	0	3	30	46	8	0	36	27	15	20	34	28	0	0	25	0	28
16	6 Jun 23	18:32:00	1	0	37	0	Pn	0	1	12	11	1	1	7	1	8	12	15	15	12	12	1	15	15	15	4	8	13	15	15	12	9	15	15	11	8	3	4	8	11	1
17	6 Jun 23	18:33:00	1	0	37	0	MT	0	1	0	5	0	0	0	0	0	0	0	2	1	0	14	7	0	0	0	4	1	0	0	6	8	13	0	4	3	0	0	7	0	14
17	6 Jun 23	18:33:00	1	0	37	0	CT	0	1	0	32	0	0	4	0	1	0	0	8	2	0	1	15	0	5	2	18	18	26	1	12	28	21	22	9	22	1	0	14	0	17
17	6 Jun 23	18:33:00	1	0	37	0	Pn	0	1	12	10	1	1	7	1	8	12	15	13	11	12	15	8	15	15	4	8	12	15	15	12	15	2	15	15	5	3	4	15	11	15
18	6 Jun 23	18:34:00	1	0	37	0	MT	0	1	0	5	0	0	3	0	0	0	0	0	4	0	0	21	0	2	0	0	3	0	0	11	0	1	0	0	8	0	0	3	0	28
18	6 Jun 23	18:34:00	1	0	37	0	CT	0	1	0	46	0	0	6	0	0	0	0	0	19	0	5	33	0	3	0	5	17	8	0	15	0	19	9	0	52	0	1	7	0	34
18	6 Jun 23	18:34:00	1	0	37	0	Pn	0	1	12	5	1	1	4	1	8	12	15	13	7	12	15	15	15	13	4	8	15	15	15	1	15	1	15	15	7	3	4	12	11	15
19	6 Jun 23	18:35:00	1	0	37	0	MT	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	14	6	14	0	14	8	0	0	6	0	6
19	6 Jun 23	18:35:00	1	0	37	0	CT	0	1	0	45	0	0	4	0	0	0	0	0	0	0	1	19	0	0	0	7	0	0	1	20	24	20	1	17	22	0	0	21	0	14
19	6 Jun 23	18:35:00	1	0	37	0	Pn	0	1	12	4	1	1	4	1	8	12	15	13	7	12	15	2	15	13	4	8	15	15	15	15	9	15	15	1	15	3	4	6	11	9
20	6 Jun 23	18:36:00	1	0	37	0	MT	0	1	0	3	0	0	2	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	8	0	0	14	0	0	1	4	0	12
20	6 Jun 23	18:36:00	1	0	37	0	CT	0	1	0	24	0	0	13	0	0	0	0	0	0	0	1	33	0	0	0	6	0	0	0	1	30	0	0	24	11	1	5	25	0	22
20	6 Jun 23	18:36:00	1	0	37	0	Pn	0	1	12	1	1	1	2	1	8	12	15	13	7	12	15	15	15	13	4	8	15	15	15	15	5	15	15	15	15	3	3	2	11	1
21	6 Jun 23	18:37:00	1	0	37	0	MT	0	1	0	8	0	0	1	0	0	0	0	2	5	0	0	7	0	2	0	0	0	0	0	0	5	6	0	0	10	0	0	10	0	4
21	6 Jun 23	18:37:00	1	0	37	0	CT	0	1	0	28	0	0	6	0	2	0	0	4	9	0	1	14	0	10	0	0	0	0	1	3	27	8	0	5	33	0	27	32	0	13
21	6 Jun 23	18:37:00	1	0	37	0	Pn	0	1	12	9	1	1	1	1	8	12	15	11	10	12	15	8	15	11	4	8	15	15	15	15	8	9	15	15	15	3	3	8	11	5
22	6 Jun 23	18:38:00	1	0	37	0	MT	0	1	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	5	8	0	23	2	0	2	7	0	2
22	6 Jun 23	18:38:00	1	0	37	0	CT	0	1	0	29	0	0	0	0	0	0	0	19	0	0	0	25	0	0	0	2	0	5	0	6	26	35	0	30	15	0	37	21	0	14
22	6 Jun 23	18:38:00	1	0	37	0	Pn	0	1	12	12	1	1	1	1	8	12	15	9	10	12	15	8	15	11	4	8	15	13	15	15	9	1	15	10	13	3	1	9	11	7
23	6 Jun 23	18:39:00	1	0	37	0	MT	0	1	0	3	0	0	4	0	0	0	0	2	5	0	0	12	0	1	1	0	0	8	0	6	8	0	0	5	5	0	0	6	0	2
23	6 Jun 23	18:39:00	1	0	37	0	CT	0	1	0	19	4	0	8	0	1	0	0	49	9	0	0	15	0	1	4	0	0	29	1	21	33	11	0	14	19	0	4	14	0	20
23	6 Jun 23	18:39:00	1	0	37	0	Pn	0	1	12	15	1	1	5	1	8	12	15	11	15	12	15	10	15	10	5	8	15	5	15	9	5	1	15	15	8	3	1	15	11	9
24	6 Jun 23	18:40:00	1	0	37	0	MT	0	1	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	10	10	2	1	7	0	0	1	2	0	0	0	0
24	6 Jun 23	18:40:00	1	0	37	0	CT	0	1	0	0	1	0	5	0	0	0	0	22	8	0	0	39	0	0	0	0	2	25	20	8	41	21	0	4	7	11	0	0	0	8
24	6 Jun 23	18:40:00	1	0	37	0	Pn	0	1	12	15	1	1	7	1	8	12	15	15	15	12	15	10	15	10	5	8	15	9	5	7	4	8	15	15	7	1	1	15	11	9
25	6 Jun 23	18:41:00	1	0	37	0	MT	0	1	0	0	0	0	8	0	0	0	0	4	0	0	0	9	0	0	0	0	0	6	0	0	2	7	0	7	7	3	0	0	0	0
25	6 Jun 23	18:41:00	1	0	37	0	CT	0	1	0	0	0	0	14	0	0	0	0	14	4	0	0	18	0	0	0	0	0	25	0	0	24	11	0	20	44	8	0	1	0	0
25	6 Jun 23	18:41:00	1	0	37	0	Pn	0	1	12	15	1	1	15	1	8	12	15	11	15	12	15	1	15	10	5	8	15	15	5	7	2	15	15	8	6	4	1	15	11	9
26	6 Jun 23	18:42:00	1	0	37	0	MT	0	1	0	0	0	0	0	10	0	0	0	9	0	0	0	14	0	0	0	0	0	0	0	0	1	0	0	12	9	0	0	6	0	0
26	6 Jun 23	18:42:00	1	0	37	0	CT	0	1	0	7	1	0	0	27	0	0	0	26	0	2	0	18	0	0	0	0	0	20	0	0	3	0	0	23	21	0	0	23	11	0
26	6 Jun 23	18:42:00	1	0	37	0	Pn	0	1	12	15	1	1	15	11	8	12	15	2	15	12	15	15	15	10	5	8	15	15	5	7	1	15	15	6	15	4	1	9	11	9
27	6 Jun 23	18:43:00	1	0	37	0	MT	0	1	0	8	0	0	3	4	0	3	0	6	16	0	0	5	0	0	0	0	0	8	0	0	0	17	0	9	5	0	0	6	1	0
27	6 Jun 23	18:43:00	1	0	37	0	CT	0	1	0	30	0	0	6	32	3	21	0	26	36	1	0	13	0	0	0	0	0	52	1	3	2	28	0	22	14	0	0	36	1	0
27	6 Jun 23	18:43:00	1	0	37	0	Pn	0	1	12	7	1	1	12	15	8	11	15	4	3	12	15	10	15	10	5	8	15	7	5	7	1	4	15	15	10	4	1	7	10	9
28	6 Jun 23	18:44:00	1	0	37	0	MT	0	1	0	2	0	0	10	0	0	3	0	2	12	0	0	1	0	6	0	0	0	13	0	0	6	3	0	0	1	1	0	8	0	4
