"fly","total_activity","total_sleep","percent_sleep"
"Monitor40_Ch2",3991,4320,51.9793045361569
"Monitor40_Ch3",13887,7354,88.4851401756708
"Monitor40_Ch4",28495,5442,65.4794850198532
"Monitor40_Ch5",20555,3684,44.3267958127782
"Monitor40_Ch6",23536,5855,70.4488027914812
"Monitor40_Ch7",27512,5054,60.8109734087354
"Monitor40_Ch8",13010,5634,67.7896763325713
"Monitor40_Ch9",25406,5483,65.9728071230899
"Monitor40_Ch10",8117,6551,78.8232463000842
"Monitor40_Ch11",21354,5434,65.38322704849
"Monitor40_Ch12",23163,5590,67.2602574900734
"Monitor40_Ch13",25386,4262,51.2814342437733
"Monitor40_Ch14",8744,6543,78.726988328721
"Monitor40_Ch15",23714,4780,57.514137889544
"Monitor40_Ch16",5639,7284,87.6428829262423
"Monitor40_Ch17",25901,5133,61.7615208759475
"Monitor40_Ch18",33394,5499,66.1653230658164
"Monitor40_Ch19",13845,5893,70.9060281554566
"Monitor40_Ch20",24350,5230,62.928648778727
"Monitor40_Ch21",27441,5064,60.9312958729395
"Monitor40_Ch22",37958,5788,69.6426422813139
"Monitor40_Ch23",8881,6191,74.4916375887378
"Monitor40_Ch24",20472,3874,46.6129226326555
"Monitor40_Ch25",4388,7327,88.1602695223198
"Monitor40_Ch26",3076,7501,90.2538803994706
"Monitor40_Ch27",33020,5031,60.5342317410661
"Monitor40_Ch28",28029,4601,55.3603657802912
"Monitor40_Ch29",15590,5120,61.6051016724823
"Monitor40_Ch30",31717,4882,58.7414270244255
"Monitor40_Ch31",26311,5823,70.0637709060282
"Monitor40_Ch32",24887,5142,61.8698110937312
"Monitor41_Ch2",3991,4320,51.9793045361569
"Monitor41_Ch3",31878,3529,42.4617976176152
"Monitor41_Ch4",21656,3029,36.4456744074119
"Monitor41_Ch5",45299,4764,57.3216219468175
"Monitor41_Ch6",11650,5103,61.4005534833353
"Monitor41_Ch7",69910,5566,66.9714835759836
"Monitor41_Ch8",49289,3987,47.9725664781615
"Monitor41_Ch9",39331,5184,62.3751654433883
"Monitor41_Ch10",8278,7056,84.8995307423896
"Monitor41_Ch11",60466,4040,48.610275538443
"Monitor41_Ch12",25004,2354,28.3239080736373
"Monitor41_Ch13",48553,1954,23.5110095054747
"Monitor41_Ch14",34935,5418,65.1907111057634
"Monitor41_Ch15",48420,3571,42.9671519672723
"Monitor41_Ch16",17069,4051,48.7426302490675
"Monitor41_Ch17",11719,4457,53.6277222957526
"Monitor41_Ch18",26006,5835,70.208157863073
"Monitor41_Ch19",12365,4701,56.5635904223318
"Monitor41_Ch20",26418,2131,25.6407171218867
"Monitor41_Ch21",15616,3785,45.5420527012393
"Monitor41_Ch22",36579,4527,54.4699795451811
"Monitor41_Ch23",12831,4954,59.6077487666947
"Monitor41_Ch24",28397,5112,61.508843701119
"Monitor41_Ch25",43485,4699,56.539525929491
"Monitor41_Ch26",28211,5573,67.0557093009265
"Monitor41_Ch27",48448,4338,52.1958849717242
"Monitor41_Ch28",31902,4523,54.4218505594995
"Monitor41_Ch29",29984,2401,28.8894236553965
"Monitor41_Ch30",40316,4992,60.0649741306702
"Monitor41_Ch31",20990,2139,25.7369750932499
"Monitor41_Ch32",12067,6612,79.557213331729
