Fly,Lab,User,Date,Experiment_name,Monitor_type,Monitor_number,Channel,Group,Tube_type,Incubator,Temperature,Treatment,Sex,Other,Alive
yjli_20230606_sleep_mutant_comparison_Monitor39_1,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor39,1,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor39_2,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor39,2,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor39_3,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor39,3,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor39_4,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor39,4,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor39_5,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor39,5,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor39_6,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor39,6,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor39_7,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor39,7,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor39_8,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor39,8,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor39_9,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor39,9,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor39_10,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor39,10,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor39_11,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor39,11,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor39_12,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor39,12,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor39_13,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor39,13,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor39_14,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor39,14,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor39_15,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor39,15,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor39_16,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor39,16,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor39_17,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor39,17,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor39_18,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor39,18,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
