Fly,Lab,User,Date,Experiment_name,Monitor_type,Monitor_number,Channel,Group,Tube_type,Incubator,Temperature,Treatment,Sex,Other,Alive
yjli_20230606_sleep_mutant_comparison_Monitor39_19,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor39,19,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor39_20,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor39,20,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor39_21,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor39,21,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor39_22,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor39,22,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor39_23,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor39,23,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor39_24,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor39,24,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor39_25,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor39,25,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor39_26,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor39,26,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor39_27,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor39,27,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor39_28,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor39,28,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor39_29,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor39,29,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor39_30,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor39,30,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor39_31,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor39,31,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor39_32,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor39,32,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
