Fly,Lab,User,Date,Experiment_name,Monitor_type,Monitor_number,Channel,Group,Tube_type,Incubator,Temperature,Treatment,Sex,Other,Alive
yjli_20230606_sleep_mutant_comparison_Monitor41_1,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor41,1,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor41_2,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor41,2,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor41_3,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor41,3,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor41_4,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor41,4,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor41_5,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor41,5,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor41_6,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor41,6,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor41_7,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor41,7,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor41_8,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor41,8,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor41_9,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor41,9,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor41_10,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor41,10,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor41_11,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor41,11,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor41_12,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor41,12,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor41_13,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor41,13,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor41_14,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor41,14,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor41_15,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor41,15,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor41_16,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor41,16,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor41_17,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor41,17,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor41_18,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor41,18,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor41_19,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor41,19,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor41_20,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor41,20,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor41_21,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor41,21,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor41_22,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor41,22,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
yjli_20230606_sleep_mutant_comparison_Monitor41_23,Sehgal,yjli,20230606,sleep_mutant_comparison,MB,Monitor41,23,Unknown,MB,Incubator1,25,Control,Unknown,Wcs,NA
